"District","FIPS","Year","Incident Type","Measure Type","Variable","Value","R#","Region"
"Scotland School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Seymour School District",900967610,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Seymour School District",900967610,"2012-2013","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Seymour School District",900967610,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Seymour School District",900967610,"2013-2014","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Seymour School District",900967610,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Seymour School District",900967610,"2014-2015","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Seymour School District",900967610,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Seymour School District",900967610,"2015-2016","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Seymour School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Seymour School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Sharon School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Sharon School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,5,"Western"
"Sharon School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Sharon School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,5,"Western"
"Sharon School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Sharon School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,5,"Western"
"Sharon School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Sharon School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,5,"Western"
"Sharon School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Sharon School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,5,"Western"
"Shelton School District",900168170,"2012-2013","Bullying","Number","Students with at least 1 incident",10,2,"South Central"
"Shelton School District",900168170,"2012-2013","Bullying","Number","Total Incidents",13,2,"South Central"
"Shelton School District",900168170,"2013-2014","Bullying","Number","Students with at least 1 incident",23,2,"South Central"
"Shelton School District",900168170,"2013-2014","Bullying","Number","Total Incidents",26,2,"South Central"
"Shelton School District",900168170,"2014-2015","Bullying","Number","Students with at least 1 incident",21,2,"South Central"
"Shelton School District",900168170,"2014-2015","Bullying","Number","Total Incidents",41,2,"South Central"
"Shelton School District",900168170,"2015-2016","Bullying","Number","Students with at least 1 incident",28,2,"South Central"
"Shelton School District",900168170,"2015-2016","Bullying","Number","Total Incidents",28,2,"South Central"
"Shelton School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Shelton School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Sherman School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Sherman School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,5,"Western"
"Sherman School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Sherman School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,5,"Western"
"Sherman School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Sherman School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,5,"Western"
"Sherman School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Sherman School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,5,"Western"
"Sherman School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Sherman School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,5,"Western"
"Side By Side Charter School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Side By Side Charter School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Side By Side Charter School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Side By Side Charter School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Side By Side Charter School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Side By Side Charter School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Side By Side Charter School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Side By Side Charter School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Side By Side Charter School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Side By Side Charter School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Simsbury School District",900368940,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Simsbury School District",900368940,"2012-2013","Bullying","Number","Total Incidents",-9999,6,"Central"
"Simsbury School District",900368940,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Simsbury School District",900368940,"2013-2014","Bullying","Number","Total Incidents",-9999,6,"Central"
"Simsbury School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,6,"Central"
"Simsbury School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,6,"Central"
"Simsbury School District",900368940,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Simsbury School District",900368940,"2015-2016","Bullying","Number","Total Incidents",-9999,6,"Central"
"Simsbury School District",900368940,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Simsbury School District",900368940,"2016-2017","Bullying","Number","Total Incidents",-9999,6,"Central"
"Somers School District",901369220,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Somers School District",901369220,"2012-2013","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Somers School District",901369220,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Somers School District",901369220,"2013-2014","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Somers School District",901369220,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Somers School District",901369220,"2014-2015","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Somers School District",901369220,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Somers School District",901369220,"2015-2016","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Somers School District",901369220,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Somers School District",901369220,"2016-2017","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Southington School District",900370550,"2012-2013","Bullying","Number","Students with at least 1 incident",7,4,"North Central"
"Southington School District",900370550,"2012-2013","Bullying","Number","Total Incidents",9,4,"North Central"
"Southington School District",900370550,"2013-2014","Bullying","Number","Students with at least 1 incident",19,4,"North Central"
"Southington School District",900370550,"2013-2014","Bullying","Number","Total Incidents",20,4,"North Central"
"Southington School District",900370550,"2014-2015","Bullying","Number","Students with at least 1 incident",32,4,"North Central"
"Southington School District",900370550,"2014-2015","Bullying","Number","Total Incidents",36,4,"North Central"
"Southington School District",900370550,"2015-2016","Bullying","Number","Students with at least 1 incident",13,4,"North Central"
"Southington School District",900370550,"2015-2016","Bullying","Number","Total Incidents",13,4,"North Central"
"Southington School District",900370550,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Southington School District",900370550,"2016-2017","Bullying","Number","Total Incidents",-9999,4,"North Central"
"South Windsor School District",900371390,"2012-2013","Bullying","Number","Students with at least 1 incident",11,6,"Central"
"South Windsor School District",900371390,"2012-2013","Bullying","Number","Total Incidents",12,6,"Central"
"South Windsor School District",900371390,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"South Windsor School District",900371390,"2013-2014","Bullying","Number","Total Incidents",-9999,6,"Central"
"South Windsor School District",900371390,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"South Windsor School District",900371390,"2014-2015","Bullying","Number","Total Incidents",-9999,6,"Central"
"South Windsor School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,6,"Central"
"South Windsor School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,6,"Central"
"South Windsor School District",900371390,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"South Windsor School District",900371390,"2016-2017","Bullying","Number","Total Incidents",-9999,6,"Central"
"Sprague School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Sprague School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Sprague School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Sprague School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Sprague School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Sprague School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Sprague School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Sprague School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Sprague School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Sprague School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Stafford School District",901372090,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Stafford School District",901372090,"2012-2013","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Stafford School District",901372090,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Stafford School District",901372090,"2013-2014","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Stafford School District",901372090,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Stafford School District",901372090,"2014-2015","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Stafford School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Stafford School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Stafford School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Stafford School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Stamford Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Stamford Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Stamford Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Stamford Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Stamford Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Stamford Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Stamford Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Stamford Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Stamford Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Stamford Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Stamford Charter School for Excellence District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Stamford Charter School for Excellence District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Stamford Charter School for Excellence District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Stamford Charter School for Excellence District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Stamford Charter School for Excellence District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Stamford Charter School for Excellence District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Stamford Charter School for Excellence District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Stamford Charter School for Excellence District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Stamford Charter School for Excellence District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Stamford Charter School for Excellence District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Stamford School District",900173070,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Stamford School District",900173070,"2012-2013","Bullying","Number","Total Incidents",13,1,"Southwest"
"Stamford School District",900173070,"2013-2014","Bullying","Number","Students with at least 1 incident",8,1,"Southwest"
"Stamford School District",900173070,"2013-2014","Bullying","Number","Total Incidents",9,1,"Southwest"
"Stamford School District",900173070,"2014-2015","Bullying","Number","Students with at least 1 incident",9,1,"Southwest"
"Stamford School District",900173070,"2014-2015","Bullying","Number","Total Incidents",12,1,"Southwest"
"Stamford School District",900173070,"2015-2016","Bullying","Number","Students with at least 1 incident",14,1,"Southwest"
"Stamford School District",900173070,"2015-2016","Bullying","Number","Total Incidents",14,1,"Southwest"
"Stamford School District",900173070,"2016-2017","Bullying","Number","Students with at least 1 incident",9,1,"Southwest"
"Stamford School District",900173070,"2016-2017","Bullying","Number","Total Incidents",12,1,"Southwest"
"Sterling School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Sterling School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Sterling School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Sterling School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Sterling School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Sterling School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Sterling School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Sterling School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Sterling School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Sterling School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Stonington School District",901173770,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Stonington School District",901173770,"2012-2013","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Stonington School District",901173770,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Stonington School District",901173770,"2013-2014","Bullying","Number","Total Incidents",6,3,"Eastern"
"Stonington School District",901173770,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Stonington School District",901173770,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Stonington School District",901173770,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Stonington School District",901173770,"2015-2016","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Stonington School District",901173770,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Stonington School District",901173770,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Stratford School District",900174190,"2012-2013","Bullying","Number","Students with at least 1 incident",21,1,"Southwest"
"Stratford School District",900174190,"2012-2013","Bullying","Number","Total Incidents",24,1,"Southwest"
"Stratford School District",900174190,"2013-2014","Bullying","Number","Students with at least 1 incident",16,1,"Southwest"
"Stratford School District",900174190,"2013-2014","Bullying","Number","Total Incidents",21,1,"Southwest"
"Stratford School District",900174190,"2014-2015","Bullying","Number","Students with at least 1 incident",13,1,"Southwest"
"Stratford School District",900174190,"2014-2015","Bullying","Number","Total Incidents",13,1,"Southwest"
"Stratford School District",900174190,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Stratford School District",900174190,"2015-2016","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Stratford School District",900174190,"2016-2017","Bullying","Number","Students with at least 1 incident",10,1,"Southwest"
"Stratford School District",900174190,"2016-2017","Bullying","Number","Total Incidents",14,1,"Southwest"
"Suffield School District",900374540,"2012-2013","Bullying","Number","Students with at least 1 incident",6,4,"North Central"
"Suffield School District",900374540,"2012-2013","Bullying","Number","Total Incidents",6,4,"North Central"
"Suffield School District",900374540,"2013-2014","Bullying","Number","Students with at least 1 incident",12,4,"North Central"
"Suffield School District",900374540,"2013-2014","Bullying","Number","Total Incidents",16,4,"North Central"
"Suffield School District",900374540,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Suffield School District",900374540,"2014-2015","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Suffield School District",900374540,"2015-2016","Bullying","Number","Students with at least 1 incident",9,4,"North Central"
"Suffield School District",900374540,"2015-2016","Bullying","Number","Total Incidents",14,4,"North Central"
"Suffield School District",900374540,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Suffield School District",900374540,"2016-2017","Bullying","Number","Total Incidents",-9999,4,"North Central"
"The Bridge Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"The Bridge Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"The Bridge Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",17,1,"Southwest"
"The Bridge Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",34,1,"Southwest"
"The Bridge Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",8,1,"Southwest"
"The Bridge Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",14,1,"Southwest"
"The Bridge Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"The Bridge Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"The Bridge Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",9,1,"Southwest"
"The Bridge Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",10,1,"Southwest"
"The Gilbert School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",28,5,"Western"
"The Gilbert School District",NA,"2012-2013","Bullying","Number","Total Incidents",35,5,"Western"
"The Gilbert School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",8,5,"Western"
"The Gilbert School District",NA,"2013-2014","Bullying","Number","Total Incidents",8,5,"Western"
"The Gilbert School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"The Gilbert School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,5,"Western"
"The Gilbert School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"The Gilbert School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,5,"Western"
"The Gilbert School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"The Gilbert School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,5,"Western"
"Thomaston School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Thomaston School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,5,"Western"
"Thomaston School District",900575730,"2013-2014","Bullying","Number","Students with at least 1 incident",11,5,"Western"
"Thomaston School District",900575730,"2013-2014","Bullying","Number","Total Incidents",17,5,"Western"
"Thomaston School District",900575730,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Thomaston School District",900575730,"2014-2015","Bullying","Number","Total Incidents",-9999,5,"Western"
"Thomaston School District",900575730,"2015-2016","Bullying","Number","Students with at least 1 incident",18,5,"Western"
"Thomaston School District",900575730,"2015-2016","Bullying","Number","Total Incidents",21,5,"Western"
"Thomaston School District",900575730,"2016-2017","Bullying","Number","Students with at least 1 incident",16,5,"Western"
"Thomaston School District",900575730,"2016-2017","Bullying","Number","Total Incidents",19,5,"Western"
"Thompson School District",901575870,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Thompson School District",901575870,"2012-2013","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Thompson School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Thompson School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Thompson School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Thompson School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Thompson School District",901575870,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Thompson School District",901575870,"2015-2016","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Thompson School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Thompson School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Tolland School District",901376290,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Tolland School District",901376290,"2012-2013","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Tolland School District",901376290,"2013-2014","Bullying","Number","Students with at least 1 incident",9,4,"North Central"
"Tolland School District",901376290,"2013-2014","Bullying","Number","Total Incidents",9,4,"North Central"
"Tolland School District",901376290,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Tolland School District",901376290,"2014-2015","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Tolland School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Tolland School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Tolland School District",901376290,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Tolland School District",901376290,"2016-2017","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Torrington School District",900576570,"2012-2013","Bullying","Number","Students with at least 1 incident",10,5,"Western"
"Torrington School District",900576570,"2012-2013","Bullying","Number","Total Incidents",13,5,"Western"
"Torrington School District",900576570,"2013-2014","Bullying","Number","Students with at least 1 incident",6,5,"Western"
"Torrington School District",900576570,"2013-2014","Bullying","Number","Total Incidents",6,5,"Western"
"Torrington School District",900576570,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Torrington School District",900576570,"2014-2015","Bullying","Number","Total Incidents",-9999,5,"Western"
"Torrington School District",900576570,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Torrington School District",900576570,"2015-2016","Bullying","Number","Total Incidents",-9999,5,"Western"
"Torrington School District",900576570,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Torrington School District",900576570,"2016-2017","Bullying","Number","Total Incidents",-9999,5,"Western"
"Trailblazers Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Trailblazers Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",7,1,"Southwest"
"Trailblazers Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Trailblazers Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Trailblazers Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Trailblazers Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Trailblazers Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Trailblazers Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Trailblazers Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Trailblazers Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Trumbull School District",900177200,"2012-2013","Bullying","Number","Students with at least 1 incident",7,1,"Southwest"
"Trumbull School District",900177200,"2012-2013","Bullying","Number","Total Incidents",7,1,"Southwest"
"Trumbull School District",900177200,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Trumbull School District",900177200,"2013-2014","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Trumbull School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Trumbull School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Trumbull School District",900177200,"2015-2016","Bullying","Number","Students with at least 1 incident",8,1,"Southwest"
"Trumbull School District",900177200,"2015-2016","Bullying","Number","Total Incidents",10,1,"Southwest"
"Trumbull School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Trumbull School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Unified School District #1",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,NA,NA
"Unified School District #1",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,NA,NA
"Unified School District #1",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,NA,NA
"Unified School District #1",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,NA,NA
"Unified School District #1",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,NA,NA
"Unified School District #1",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,NA,NA
"Unified School District #1",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,NA,NA
"Unified School District #1",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,NA,NA
"Unified School District #1",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,NA,NA
"Unified School District #1",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,NA,NA
"Unified School District #2",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Unified School District #2",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Unified School District #2",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Unified School District #2",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Unified School District #2",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Unified School District #2",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Unified School District #2",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Unified School District #2",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Unified School District #2",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Unified School District #2",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Union School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Union School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Union School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Union School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Union School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Union School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Union School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Union School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Union School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Union School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
