"District","FIPS","Year","Incident Type","Measure Type","Variable","Value"
"New Britain School District",900350440,"2015-2016","Bullying","Number","Total Incidents",10
"New Britain School District",900350440,"2016-2017","Bullying","Number","Students with at least 1 incident",54
"New Britain School District",900350440,"2016-2017","Bullying","Number","Total Incidents",66
"New Canaan School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"New Canaan School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"New Canaan School District",900150580,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"New Canaan School District",900150580,"2013-2014","Bullying","Number","Total Incidents",-9999
"New Canaan School District",900150580,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"New Canaan School District",900150580,"2014-2015","Bullying","Number","Total Incidents",-9999
"New Canaan School District",900150580,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"New Canaan School District",900150580,"2015-2016","Bullying","Number","Total Incidents",-9999
"New Canaan School District",900150580,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"New Canaan School District",900150580,"2016-2017","Bullying","Number","Total Incidents",-9999
"New Fairfield School District",900150860,"2012-2013","Bullying","Number","Students with at least 1 incident",12
"New Fairfield School District",900150860,"2012-2013","Bullying","Number","Total Incidents",12
"New Fairfield School District",900150860,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"New Fairfield School District",900150860,"2013-2014","Bullying","Number","Total Incidents",-9999
"New Fairfield School District",900150860,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"New Fairfield School District",900150860,"2014-2015","Bullying","Number","Total Incidents",-9999
"New Fairfield School District",900150860,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"New Fairfield School District",900150860,"2015-2016","Bullying","Number","Total Incidents",-9999
"New Fairfield School District",900150860,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"New Fairfield School District",900150860,"2016-2017","Bullying","Number","Total Incidents",-9999
"New Hartford School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"New Hartford School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"New Hartford School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"New Hartford School District",NA,"2013-2014","Bullying","Number","Total Incidents",6
"New Hartford School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"New Hartford School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"New Hartford School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"New Hartford School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"New Hartford School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"New Hartford School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"New Haven School District",900952070,"2012-2013","Bullying","Number","Students with at least 1 incident",56
"New Haven School District",900952070,"2012-2013","Bullying","Number","Total Incidents",64
"New Haven School District",900952070,"2013-2014","Bullying","Number","Students with at least 1 incident",52
"New Haven School District",900952070,"2013-2014","Bullying","Number","Total Incidents",61
"New Haven School District",900952070,"2014-2015","Bullying","Number","Students with at least 1 incident",39
"New Haven School District",900952070,"2014-2015","Bullying","Number","Total Incidents",47
"New Haven School District",900952070,"2015-2016","Bullying","Number","Students with at least 1 incident",31
"New Haven School District",900952070,"2015-2016","Bullying","Number","Total Incidents",37
"New Haven School District",900952070,"2016-2017","Bullying","Number","Students with at least 1 incident",22
"New Haven School District",900952070,"2016-2017","Bullying","Number","Total Incidents",23
"Newington School District",900352140,"2012-2013","Bullying","Number","Students with at least 1 incident",13
"Newington School District",900352140,"2012-2013","Bullying","Number","Total Incidents",18
"Newington School District",900352140,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Newington School District",900352140,"2013-2014","Bullying","Number","Total Incidents",-9999
"Newington School District",900352140,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Newington School District",900352140,"2014-2015","Bullying","Number","Total Incidents",-9999
"Newington School District",900352140,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Newington School District",900352140,"2015-2016","Bullying","Number","Total Incidents",-9999
"Newington School District",900352140,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Newington School District",900352140,"2016-2017","Bullying","Number","Total Incidents",-9999
"New London School District",901152350,"2012-2013","Bullying","Number","Students with at least 1 incident",39
"New London School District",901152350,"2012-2013","Bullying","Number","Total Incidents",49
"New London School District",901152350,"2013-2014","Bullying","Number","Students with at least 1 incident",32
"New London School District",901152350,"2013-2014","Bullying","Number","Total Incidents",33
"New London School District",901152350,"2014-2015","Bullying","Number","Students with at least 1 incident",9
"New London School District",901152350,"2014-2015","Bullying","Number","Total Incidents",9
"New London School District",901152350,"2015-2016","Bullying","Number","Students with at least 1 incident",13
"New London School District",901152350,"2015-2016","Bullying","Number","Total Incidents",14
"New London School District",901152350,"2016-2017","Bullying","Number","Students with at least 1 incident",12
"New London School District",901152350,"2016-2017","Bullying","Number","Total Incidents",15
"New Milford School District",900552630,"2012-2013","Bullying","Number","Students with at least 1 incident",8
"New Milford School District",900552630,"2012-2013","Bullying","Number","Total Incidents",9
"New Milford School District",900552630,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"New Milford School District",900552630,"2013-2014","Bullying","Number","Total Incidents",-9999
"New Milford School District",900552630,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"New Milford School District",900552630,"2014-2015","Bullying","Number","Total Incidents",-9999
"New Milford School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"New Milford School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"New Milford School District",900552630,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"New Milford School District",900552630,"2016-2017","Bullying","Number","Total Incidents",-9999
"Newtown School District",900152980,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Newtown School District",900152980,"2012-2013","Bullying","Number","Total Incidents",-9999
"Newtown School District",900152980,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Newtown School District",900152980,"2013-2014","Bullying","Number","Total Incidents",9
"Newtown School District",900152980,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Newtown School District",900152980,"2014-2015","Bullying","Number","Total Incidents",6
"Newtown School District",900152980,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Newtown School District",900152980,"2015-2016","Bullying","Number","Total Incidents",-9999
"Newtown School District",900152980,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Newtown School District",900152980,"2016-2017","Bullying","Number","Total Incidents",-9999
"Norfolk School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Norfolk School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Norfolk School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Norfolk School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Norfolk School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Norfolk School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Norfolk School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Norfolk School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Norfolk School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Norfolk School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"North Branford School District",900953890,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"North Branford School District",900953890,"2012-2013","Bullying","Number","Total Incidents",-9999
"North Branford School District",900953890,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"North Branford School District",900953890,"2013-2014","Bullying","Number","Total Incidents",-9999
"North Branford School District",900953890,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"North Branford School District",900953890,"2014-2015","Bullying","Number","Total Incidents",-9999
"North Branford School District",900953890,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"North Branford School District",900953890,"2015-2016","Bullying","Number","Total Incidents",6
"North Branford School District",900953890,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"North Branford School District",900953890,"2016-2017","Bullying","Number","Total Incidents",8
"North Canaan School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"North Canaan School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"North Canaan School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"North Canaan School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"North Canaan School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"North Canaan School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"North Canaan School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"North Canaan School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"North Canaan School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"North Canaan School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"North Haven School District",900954870,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"North Haven School District",900954870,"2012-2013","Bullying","Number","Total Incidents",-9999
"North Haven School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"North Haven School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"North Haven School District",900954870,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"North Haven School District",900954870,"2014-2015","Bullying","Number","Total Incidents",-9999
"North Haven School District",900954870,"2015-2016","Bullying","Number","Students with at least 1 incident",6
"North Haven School District",900954870,"2015-2016","Bullying","Number","Total Incidents",8
"North Haven School District",900954870,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"North Haven School District",900954870,"2016-2017","Bullying","Number","Total Incidents",-9999
"North Stonington School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"North Stonington School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"North Stonington School District",901155500,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"North Stonington School District",901155500,"2013-2014","Bullying","Number","Total Incidents",-9999
"North Stonington School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"North Stonington School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"North Stonington School District",901155500,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"North Stonington School District",901155500,"2015-2016","Bullying","Number","Total Incidents",-9999
"North Stonington School District",901155500,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"North Stonington School District",901155500,"2016-2017","Bullying","Number","Total Incidents",-9999
"Norwalk School District",900156060,"2012-2013","Bullying","Number","Students with at least 1 incident",19
"Norwalk School District",900156060,"2012-2013","Bullying","Number","Total Incidents",19
"Norwalk School District",900156060,"2013-2014","Bullying","Number","Students with at least 1 incident",25
"Norwalk School District",900156060,"2013-2014","Bullying","Number","Total Incidents",27
"Norwalk School District",900156060,"2014-2015","Bullying","Number","Students with at least 1 incident",9
"Norwalk School District",900156060,"2014-2015","Bullying","Number","Total Incidents",9
"Norwalk School District",900156060,"2015-2016","Bullying","Number","Students with at least 1 incident",8
"Norwalk School District",900156060,"2015-2016","Bullying","Number","Total Incidents",10
"Norwalk School District",900156060,"2016-2017","Bullying","Number","Students with at least 1 incident",18
"Norwalk School District",900156060,"2016-2017","Bullying","Number","Total Incidents",20
"Norwich Free Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Norwich Free Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Norwich Free Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Norwich Free Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Norwich Free Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",6
"Norwich Free Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",6
"Norwich Free Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Norwich Free Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",6
"Norwich Free Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Norwich Free Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Norwich School District",901156270,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Norwich School District",901156270,"2012-2013","Bullying","Number","Total Incidents",-9999
"Norwich School District",901156270,"2013-2014","Bullying","Number","Students with at least 1 incident",6
"Norwich School District",901156270,"2013-2014","Bullying","Number","Total Incidents",8
"Norwich School District",901156270,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Norwich School District",901156270,"2014-2015","Bullying","Number","Total Incidents",-9999
"Norwich School District",901156270,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Norwich School District",901156270,"2015-2016","Bullying","Number","Total Incidents",-9999
"Norwich School District",901156270,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Norwich School District",901156270,"2016-2017","Bullying","Number","Total Incidents",-9999
"Odyssey Community School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Odyssey Community School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Odyssey Community School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Odyssey Community School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Odyssey Community School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Odyssey Community School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Odyssey Community School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Odyssey Community School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Odyssey Community School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Odyssey Community School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Old Saybrook School District",900757320,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Old Saybrook School District",900757320,"2012-2013","Bullying","Number","Total Incidents",-9999
"Old Saybrook School District",900757320,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Old Saybrook School District",900757320,"2013-2014","Bullying","Number","Total Incidents",-9999
"Old Saybrook School District",900757320,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Old Saybrook School District",900757320,"2014-2015","Bullying","Number","Total Incidents",-9999
"Old Saybrook School District",900757320,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Old Saybrook School District",900757320,"2015-2016","Bullying","Number","Total Incidents",-9999
"Old Saybrook School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Old Saybrook School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Orange School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Orange School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Orange School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Orange School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Orange School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Orange School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Orange School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Orange School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Orange School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Orange School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Oxford School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Oxford School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Oxford School District",900958300,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Oxford School District",900958300,"2013-2014","Bullying","Number","Total Incidents",-9999
"Oxford School District",900958300,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Oxford School District",900958300,"2014-2015","Bullying","Number","Total Incidents",-9999
"Oxford School District",900958300,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Oxford School District",900958300,"2015-2016","Bullying","Number","Total Incidents",-9999
"Oxford School District",900958300,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Oxford School District",900958300,"2016-2017","Bullying","Number","Total Incidents",-9999
"Park City Prep Charter School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Park City Prep Charter School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Park City Prep Charter School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Park City Prep Charter School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Park City Prep Charter School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Park City Prep Charter School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Park City Prep Charter School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Park City Prep Charter School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Park City Prep Charter School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Park City Prep Charter School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Path Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Path Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Path Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Path Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Path Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Path Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Path Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Path Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Path Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Path Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Plainfield School District",901559980,"2012-2013","Bullying","Number","Students with at least 1 incident",9
"Plainfield School District",901559980,"2012-2013","Bullying","Number","Total Incidents",11
"Plainfield School District",901559980,"2013-2014","Bullying","Number","Students with at least 1 incident",16
"Plainfield School District",901559980,"2013-2014","Bullying","Number","Total Incidents",17
"Plainfield School District",901559980,"2014-2015","Bullying","Number","Students with at least 1 incident",9
"Plainfield School District",901559980,"2014-2015","Bullying","Number","Total Incidents",12
"Plainfield School District",901559980,"2015-2016","Bullying","Number","Students with at least 1 incident",16
"Plainfield School District",901559980,"2015-2016","Bullying","Number","Total Incidents",17
"Plainfield School District",901559980,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Plainfield School District",901559980,"2016-2017","Bullying","Number","Total Incidents",-9999
"Plainville School District",900360120,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Plainville School District",900360120,"2012-2013","Bullying","Number","Total Incidents",-9999
"Plainville School District",900360120,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Plainville School District",900360120,"2013-2014","Bullying","Number","Total Incidents",-9999
"Plainville School District",900360120,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Plainville School District",900360120,"2014-2015","Bullying","Number","Total Incidents",-9999
"Plainville School District",900360120,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Plainville School District",900360120,"2015-2016","Bullying","Number","Total Incidents",-9999
"Plainville School District",900360120,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Plainville School District",900360120,"2016-2017","Bullying","Number","Total Incidents",-9999
"Plymouth School District",900560750,"2012-2013","Bullying","Number","Students with at least 1 incident",7
"Plymouth School District",900560750,"2012-2013","Bullying","Number","Total Incidents",11
"Plymouth School District",900560750,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Plymouth School District",900560750,"2013-2014","Bullying","Number","Total Incidents",-9999
"Plymouth School District",900560750,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Plymouth School District",900560750,"2014-2015","Bullying","Number","Total Incidents",-9999
"Plymouth School District",900560750,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Plymouth School District",900560750,"2015-2016","Bullying","Number","Total Incidents",-9999
"Plymouth School District",900560750,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Plymouth School District",900560750,"2016-2017","Bullying","Number","Total Incidents",-9999
"Pomfret School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Pomfret School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Pomfret School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Pomfret School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Pomfret School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Pomfret School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Pomfret School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Pomfret School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Pomfret School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Pomfret School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Portland School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Portland School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Portland School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Portland School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Portland School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Portland School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Portland School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Portland School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Portland School District",900761800,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Portland School District",900761800,"2016-2017","Bullying","Number","Total Incidents",-9999
"Preston School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Preston School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Preston School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Preston School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Preston School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Preston School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Preston School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Preston School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Preston School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Preston School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Putnam School District",901562710,"2012-2013","Bullying","Number","Students with at least 1 incident",6
"Putnam School District",901562710,"2012-2013","Bullying","Number","Total Incidents",6
"Putnam School District",901562710,"2013-2014","Bullying","Number","Students with at least 1 incident",8
"Putnam School District",901562710,"2013-2014","Bullying","Number","Total Incidents",10
"Putnam School District",901562710,"2014-2015","Bullying","Number","Students with at least 1 incident",6
"Putnam School District",901562710,"2014-2015","Bullying","Number","Total Incidents",6
"Putnam School District",901562710,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Putnam School District",901562710,"2015-2016","Bullying","Number","Total Incidents",-9999
"Putnam School District",901562710,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Putnam School District",901562710,"2016-2017","Bullying","Number","Total Incidents",-9999
"Redding School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",7
"Redding School District",NA,"2012-2013","Bullying","Number","Total Incidents",8
"Redding School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Redding School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Redding School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Redding School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Redding School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Redding School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Redding School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",6
"Redding School District",NA,"2016-2017","Bullying","Number","Total Incidents",6
"Regional School District 01",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 01",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Regional School District 01",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 01",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Regional School District 01",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 01",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Regional School District 01",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 01",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Regional School District 01",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 01",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Regional School District 04",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 04",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Regional School District 04",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 04",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Regional School District 04",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 04",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Regional School District 04",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 04",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Regional School District 04",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 04",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Regional School District 05",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 05",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Regional School District 05",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 05",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Regional School District 05",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 05",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Regional School District 05",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 05",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Regional School District 05",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 05",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Regional School District 06",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 06",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Regional School District 06",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 06",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Regional School District 06",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",6
"Regional School District 06",NA,"2014-2015","Bullying","Number","Total Incidents",6
"Regional School District 06",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",18
"Regional School District 06",NA,"2015-2016","Bullying","Number","Total Incidents",22
"Regional School District 06",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",9
"Regional School District 06",NA,"2016-2017","Bullying","Number","Total Incidents",12
"Regional School District 07",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 07",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Regional School District 07",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 07",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Regional School District 07",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 07",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Regional School District 07",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 07",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
