"Town","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Southbury",900969640,"2012-2016","All","Number","Median Household Income",85068
"Southington",900370550,"2012-2016","All","Number","Margins of Error",4233
"Southington",900370550,"2012-2016","All","Number","Median Household Income",88214
"South Windsor",900371390,"2012-2016","All","Number","Margins of Error",5916
"South Windsor",900371390,"2012-2016","All","Number","Median Household Income",100122
"Sprague",901171670,"2012-2016","All","Number","Margins of Error",6328
"Sprague",901171670,"2012-2016","All","Number","Median Household Income",65861
"Stafford",901372090,"2012-2016","All","Number","Margins of Error",6623
"Stafford",901372090,"2012-2016","All","Number","Median Household Income",63681
"Stamford",900173070,"2012-2016","All","Number","Margins of Error",2412
"Stamford",900173070,"2012-2016","All","Number","Median Household Income",81634
"Sterling",901573420,"2012-2016","All","Number","Margins of Error",8312
"Sterling",901573420,"2012-2016","All","Number","Median Household Income",68776
"Stonington",901173770,"2012-2016","All","Number","Margins of Error",4559
"Stonington",901173770,"2012-2016","All","Number","Median Household Income",78274
"Stratford",900174190,"2012-2016","All","Number","Margins of Error",2152
"Stratford",900174190,"2012-2016","All","Number","Median Household Income",69336
"Suffield",900374540,"2012-2016","All","Number","Margins of Error",5631
"Suffield",900374540,"2012-2016","All","Number","Median Household Income",99098
"Thomaston",900575730,"2012-2016","All","Number","Margins of Error",4304
"Thomaston",900575730,"2012-2016","All","Number","Median Household Income",65901
"Thompson",901575870,"2012-2016","All","Number","Margins of Error",7577
"Thompson",901575870,"2012-2016","All","Number","Median Household Income",68869
"Tolland",901376290,"2012-2016","All","Number","Margins of Error",5854
"Tolland",901376290,"2012-2016","All","Number","Median Household Income",109382
"Torrington",900576570,"2012-2016","All","Number","Margins of Error",2908
"Torrington",900576570,"2012-2016","All","Number","Median Household Income",58717
"Trumbull",900177200,"2012-2016","All","Number","Margins of Error",4548
"Trumbull",900177200,"2012-2016","All","Number","Median Household Income",112674
"Union",901377830,"2012-2016","All","Number","Margins of Error",15930
"Union",901377830,"2012-2016","All","Number","Median Household Income",88125
"Vernon",901378250,"2012-2016","All","Number","Margins of Error",2520
"Vernon",901378250,"2012-2016","All","Number","Median Household Income",61099
"Voluntown",901178600,"2012-2016","All","Number","Margins of Error",10478
"Voluntown",901178600,"2012-2016","All","Number","Median Household Income",81023
"Wallingford",900978740,"2012-2016","All","Number","Margins of Error",2440
"Wallingford",900978740,"2012-2016","All","Number","Median Household Income",75942
"Warren",900579510,"2012-2016","All","Number","Margins of Error",10964
"Warren",900579510,"2012-2016","All","Number","Median Household Income",92083
"Washington",900579720,"2012-2016","All","Number","Margins of Error",11177
"Washington",900579720,"2012-2016","All","Number","Median Household Income",82418
"Waterbury",900980070,"2012-2016","All","Number","Margins of Error",1768
"Waterbury",900980070,"2012-2016","All","Number","Median Household Income",39681
"Waterford",901180280,"2012-2016","All","Number","Margins of Error",3138
"Waterford",901180280,"2012-2016","All","Number","Median Household Income",78382
"Watertown",900580490,"2012-2016","All","Number","Margins of Error",7695
"Watertown",900580490,"2012-2016","All","Number","Median Household Income",76175
"Westbrook",900781680,"2012-2016","All","Number","Margins of Error",22393
"Westbrook",900781680,"2012-2016","All","Number","Median Household Income",92721
"West Hartford",900382590,"2012-2016","All","Number","Margins of Error",2924
"West Hartford",900382590,"2012-2016","All","Number","Median Household Income",91875
"West Haven",900982870,"2012-2016","All","Number","Margins of Error",2244
"West Haven",900982870,"2012-2016","All","Number","Median Household Income",50831
"Weston",900183430,"2012-2016","All","Number","Margins of Error",29065
"Weston",900183430,"2012-2016","All","Number","Median Household Income",218152
"Westport",900183500,"2012-2016","All","Number","Margins of Error",11181
"Westport",900183500,"2012-2016","All","Number","Median Household Income",166307
"Wethersfield",900384900,"2012-2016","All","Number","Margins of Error",4095
"Wethersfield",900384900,"2012-2016","All","Number","Median Household Income",78371
"Willington",901385950,"2012-2016","All","Number","Margins of Error",7240
"Willington",901385950,"2012-2016","All","Number","Median Household Income",72237
"Wilton",900186370,"2012-2016","All","Number","Margins of Error",21697
"Wilton",900186370,"2012-2016","All","Number","Median Household Income",179844
"Winchester",900586440,"2012-2016","All","Number","Margins of Error",8728
"Winchester",900586440,"2012-2016","All","Number","Median Household Income",57429
"Windham",901586790,"2012-2016","All","Number","Margins of Error",3004
"Windham",901586790,"2012-2016","All","Number","Median Household Income",40603
"Windsor",900387000,"2012-2016","All","Number","Margins of Error",6181
"Windsor",900387000,"2012-2016","All","Number","Median Household Income",82707
"Windsor Locks",900387070,"2012-2016","All","Number","Margins of Error",5348
"Windsor Locks",900387070,"2012-2016","All","Number","Median Household Income",66494
"Wolcott",900987560,"2012-2016","All","Number","Margins of Error",9008
"Wolcott",900987560,"2012-2016","All","Number","Median Household Income",83828
"Woodbridge",900987700,"2012-2016","All","Number","Margins of Error",21700
"Woodbridge",900987700,"2012-2016","All","Number","Median Household Income",136786
"Woodbury",900587910,"2012-2016","All","Number","Margins of Error",7016
"Woodbury",900587910,"2012-2016","All","Number","Median Household Income",79387
"Woodstock",901588190,"2012-2016","All","Number","Margins of Error",14713
"Woodstock",901588190,"2012-2016","All","Number","Median Household Income",84700
