"FixedDistrict","Year","Domain","Level 1","Level 2","Level 3","R#","Region"
"Department of Mental Health and Addiction Services","2016-17","Language",NA,NA,NA,NA,NA
"Department of Mental Health and Addiction Services","2016-17","Numeracy",NA,NA,NA,NA,NA
"Department of Mental Health and Addiction Services","2016-17","Literacy",NA,NA,NA,NA,NA
"Department of Mental Health and Addiction Services","2016-17","Personal",NA,NA,NA,NA,NA
"Department of Mental Health and Addiction Services","2016-17","Creative",NA,NA,NA,NA,NA
"Department of Mental Health and Addiction Services","2016-17","Physical",NA,NA,NA,NA,NA
"Derby School District","2016-17","Physical",6.2,32,61.9,2,"South Central"
"Derby School District","2016-17","Creative",8.2,35.1,56.7,2,"South Central"
"Derby School District","2016-17","Personal",15.5,36.1,48.5,2,"South Central"
"Derby School District","2016-17","Numeracy",15.5,42.3,42.3,2,"South Central"
"Derby School District","2016-17","Literacy",21.6,29.9,48.5,2,"South Central"
"Derby School District","2016-17","Language",20.6,39.2,40.2,2,"South Central"
"Eastern Connecticut Regional Educational Services","2016-17","Creative",NA,NA,NA,3,"Eastern"
"Eastern Connecticut Regional Educational Services","2016-17","Personal",NA,NA,NA,3,"Eastern"
"Eastern Connecticut Regional Educational Services","2016-17","Numeracy",NA,NA,NA,3,"Eastern"
"Eastern Connecticut Regional Educational Services","2016-17","Literacy",NA,NA,NA,3,"Eastern"
"Eastern Connecticut Regional Educational Services","2016-17","Language",NA,NA,NA,3,"Eastern"
"Eastern Connecticut Regional Educational Services","2016-17","Physical",NA,NA,NA,3,"Eastern"
"Eastford School District","2016-17","Creative",NA,NA,NA,3,"Eastern"
"Eastford School District","2016-17","Personal",NA,NA,NA,3,"Eastern"
"Eastford School District","2016-17","Numeracy",NA,NA,NA,3,"Eastern"
"Eastford School District","2016-17","Language",NA,NA,NA,3,"Eastern"
"Eastford School District","2016-17","Literacy",NA,NA,NA,3,"Eastern"
"Eastford School District","2016-17","Physical",NA,NA,NA,3,"Eastern"
"East Granby School District","2016-17","Creative",1.6,1.6,96.8,4,"North Central"
"East Granby School District","2016-17","Language",4.8,14.3,81,4,"North Central"
"East Granby School District","2016-17","Physical",1.6,4.8,93.7,4,"North Central"
"East Granby School District","2016-17","Personal",6.3,9.5,84.1,4,"North Central"
"East Granby School District","2016-17","Numeracy",4.8,6.3,88.9,4,"North Central"
"East Granby School District","2016-17","Literacy",6.3,6.3,87.3,4,"North Central"
"East Haddam School District","2016-17","Creative",3.7,40.7,55.6,3,"Eastern"
"East Haddam School District","2016-17","Language",5.6,63,31.5,3,"Eastern"
"East Haddam School District","2016-17","Physical",5.6,53.7,40.7,3,"Eastern"
"East Haddam School District","2016-17","Personal",11.1,50,38.9,3,"Eastern"
"East Haddam School District","2016-17","Numeracy",7.4,57.4,35.2,3,"Eastern"
"East Haddam School District","2016-17","Literacy",13,57.4,29.6,3,"Eastern"
"East Hampton School District","2016-17","Numeracy",13.7,37.4,48.9,3,"Eastern"
"East Hampton School District","2016-17","Physical",11.5,33.8,54.7,3,"Eastern"
"East Hampton School District","2016-17","Creative",5.8,36,58.3,3,"Eastern"
"East Hampton School District","2016-17","Literacy",24.5,30.9,44.6,3,"Eastern"
"East Hampton School District","2016-17","Language",15.8,43.2,41,3,"Eastern"
"East Hampton School District","2016-17","Personal",11.5,46,42.4,3,"Eastern"
"East Hartford School District","2016-17","Numeracy",41.3,40.1,18.5,4,"North Central"
"East Hartford School District","2016-17","Creative",31,45.5,23.5,4,"North Central"
"East Hartford School District","2016-17","Literacy",44.4,35.4,20.2,4,"North Central"
"East Hartford School District","2016-17","Physical",28.9,43.9,27.2,4,"North Central"
"East Hartford School District","2016-17","Personal",40.4,42.5,17.1,4,"North Central"
"East Hartford School District","2016-17","Language",46.7,36.6,16.7,4,"North Central"
"East Haven School District","2016-17","Numeracy",28.4,49.1,22.5,2,"South Central"
"East Haven School District","2016-17","Personal",23.1,55.6,21.3,2,"South Central"
"East Haven School District","2016-17","Literacy",27.8,49.1,23.1,2,"South Central"
"East Haven School District","2016-17","Physical",17.2,58,24.9,2,"South Central"
"East Haven School District","2016-17","Language",27.8,50.3,21.9,2,"South Central"
"East Haven School District","2016-17","Creative",16.6,60.4,23.1,2,"South Central"
"East Lyme School District","2016-17","Personal",33.7,43,23.3,3,"Eastern"
"East Lyme School District","2016-17","Numeracy",25.6,46.5,27.9,3,"Eastern"
"East Lyme School District","2016-17","Physical",15.7,52.3,32,3,"Eastern"
"East Lyme School District","2016-17","Language",30.8,41.9,27.3,3,"Eastern"
"East Lyme School District","2016-17","Literacy",30.2,40.1,29.7,3,"Eastern"
"East Lyme School District","2016-17","Creative",18,51.2,30.8,3,"Eastern"
"Easton School District","2016-17","Personal",12.8,38.5,48.7,1,"Southwest"
"Easton School District","2016-17","Physical",9,30.8,60.3,1,"Southwest"
"Easton School District","2016-17","Language",14.1,34.6,51.3,1,"Southwest"
"Easton School District","2016-17","Literacy",14.1,55.1,30.8,1,"Southwest"
"Easton School District","2016-17","Numeracy",11.5,61.5,26.9,1,"Southwest"
"Easton School District","2016-17","Creative",9,29.5,61.5,1,"Southwest"
"East Windsor School District","2016-17","Creative",16.9,51.9,31.2,4,"North Central"
"East Windsor School District","2016-17","Language",24.7,53.2,22.1,4,"North Central"
"East Windsor School District","2016-17","Personal",23.4,51.9,24.7,4,"North Central"
"East Windsor School District","2016-17","Numeracy",19.5,48.1,32.5,4,"North Central"
"East Windsor School District","2016-17","Physical",16.9,50.6,32.5,4,"North Central"
"East Windsor School District","2016-17","Literacy",31.2,37.7,31.2,4,"North Central"
"Ellington School District","2016-17","Numeracy",12.6,21,66.5,4,"North Central"
"Ellington School District","2016-17","Creative",13.2,8.4,78.4,4,"North Central"
"Ellington School District","2016-17","Literacy",9.6,28.7,61.7,4,"North Central"
"Ellington School District","2016-17","Language",14.4,24.6,61.1,4,"North Central"
"Ellington School District","2016-17","Personal",15,22.8,62.3,4,"North Central"
"Ellington School District","2016-17","Physical",13.2,12,74.9,4,"North Central"
"Elm City College Preparatory School District","2016-17","Numeracy",9.7,30.6,59.7,2,"South Central"
"Elm City College Preparatory School District","2016-17","Personal",6.5,16.1,77.4,2,"South Central"
"Elm City College Preparatory School District","2016-17","Literacy",4.8,17.7,77.4,2,"South Central"
"Elm City College Preparatory School District","2016-17","Creative",NA,4.8,95.2,2,"South Central"
"Elm City College Preparatory School District","2016-17","Physical",3.2,4.8,91.9,2,"South Central"
"Elm City College Preparatory School District","2016-17","Language",8.1,25.8,66.1,2,"South Central"
"Elm City Montessori School District","2016-17","Physical",2.9,8.8,88.2,2,"South Central"
"Elm City Montessori School District","2016-17","Literacy",14.7,50,35.3,2,"South Central"
"Elm City Montessori School District","2016-17","Personal",11.8,26.5,61.8,2,"South Central"
"Elm City Montessori School District","2016-17","Language",8.8,17.6,73.5,2,"South Central"
"Elm City Montessori School District","2016-17","Creative",2.9,11.8,85.3,2,"South Central"
"Elm City Montessori School District","2016-17","Numeracy",8.8,20.6,70.6,2,"South Central"
"Enfield School District","2016-17","Language",25.9,43.6,30.5,4,"North Central"
"Enfield School District","2016-17","Numeracy",23.8,49.2,27,4,"North Central"
"Enfield School District","2016-17","Personal",21.9,46.2,31.9,4,"North Central"
