"FixedDistrict","Year","Domain","Level 1","Level 2","Level 3","R#","Region"
"Waterford School District","2016-17","Language",19.7,51.8,28.5,3,"Eastern"
"Waterford School District","2016-17","Personal",16.1,56.9,27,3,"Eastern"
"Waterford School District","2016-17","Numeracy",18.2,51.8,29.9,3,"Eastern"
"Waterford School District","2016-17","Physical",11.7,60.6,27.7,3,"Eastern"
"Waterford School District","2016-17","Creative",10.2,65,24.8,3,"Eastern"
"Waterford School District","2016-17","Literacy",19.7,50.4,29.9,3,"Eastern"
"Watertown School District","2016-17","Personal",21.7,36,42.3,5,"Western"
"Watertown School District","2016-17","Numeracy",21.2,45.5,33.3,5,"Western"
"Watertown School District","2016-17","Creative",11.6,36.5,51.9,5,"Western"
"Watertown School District","2016-17","Language",23.8,37,39.2,5,"Western"
"Watertown School District","2016-17","Literacy",23.8,45.5,30.7,5,"Western"
"Watertown School District","2016-17","Physical",14.8,36,49.2,5,"Western"
"Westbrook School District","2016-17","Numeracy",12.5,41.1,46.4,3,"Eastern"
"Westbrook School District","2016-17","Creative",1.8,42.9,55.4,3,"Eastern"
"Westbrook School District","2016-17","Literacy",16.1,42.9,41.1,3,"Eastern"
"Westbrook School District","2016-17","Personal",8.9,41.1,50,3,"Eastern"
"Westbrook School District","2016-17","Physical",5.4,42.9,51.8,3,"Eastern"
"Westbrook School District","2016-17","Language",23.2,41.1,35.7,3,"Eastern"
"Western Connecticut Regional Educational Services","2016-17","Physical",NA,NA,NA,5,"Western"
"Western Connecticut Regional Educational Services","2016-17","Literacy",NA,NA,NA,5,"Western"
"Western Connecticut Regional Educational Services","2016-17","Personal",NA,NA,NA,5,"Western"
"Western Connecticut Regional Educational Services","2016-17","Language",NA,NA,NA,5,"Western"
"Western Connecticut Regional Educational Services","2016-17","Numeracy",NA,NA,NA,5,"Western"
"Western Connecticut Regional Educational Services","2016-17","Creative",NA,NA,NA,5,"Western"
"West Hartford School District","2016-17","Language",19.2,39.9,40.9,4,"North Central"
"West Hartford School District","2016-17","Personal",17.5,45,37.5,4,"North Central"
"West Hartford School District","2016-17","Physical",6.7,38.6,54.6,4,"North Central"
"West Hartford School District","2016-17","Numeracy",14.4,38.5,47.1,4,"North Central"
"West Hartford School District","2016-17","Creative",8,39.3,52.7,4,"North Central"
"West Hartford School District","2016-17","Literacy",15.7,37.2,47.1,4,"North Central"
"West Haven School District","2016-17","Physical",26.6,56.1,17.4,2,"South Central"
"West Haven School District","2016-17","Creative",32,50.4,17.6,2,"South Central"
"West Haven School District","2016-17","Language",44.6,43.7,11.7,2,"South Central"
"West Haven School District","2016-17","Personal",34.7,50.6,14.6,2,"South Central"
"West Haven School District","2016-17","Numeracy",39.5,47.5,13,2,"South Central"
"West Haven School District","2016-17","Literacy",42.1,44.4,13.6,2,"South Central"
"Weston School District","2016-17","Personal",4.7,21.9,73.4,1,"Southwest"
"Weston School District","2016-17","Creative",1.6,5.5,93,1,"Southwest"
"Weston School District","2016-17","Physical",1.6,10.2,88.3,1,"Southwest"
"Weston School District","2016-17","Numeracy",3.9,13.3,82.8,1,"Southwest"
"Weston School District","2016-17","Literacy",3.9,18.8,77.3,1,"Southwest"
"Weston School District","2016-17","Language",3.9,25.8,70.3,1,"Southwest"
"Westport School District","2016-17","Numeracy",5.5,42.8,51.7,1,"Southwest"
"Westport School District","2016-17","Personal",8,43.1,48.9,1,"Southwest"
"Westport School District","2016-17","Literacy",8.3,42.8,48.9,1,"Southwest"
"Westport School District","2016-17","Creative",3.7,42.5,53.8,1,"Southwest"
"Westport School District","2016-17","Language",12.5,41,46.5,1,"Southwest"
"Westport School District","2016-17","Physical",3.4,43.4,53.2,1,"Southwest"
"Wethersfield School District","2016-17","Literacy",20.5,45.6,33.9,6,"Central"
"Wethersfield School District","2016-17","Numeracy",19.7,43.5,36.8,6,"Central"
"Wethersfield School District","2016-17","Creative",18.8,46,35.1,6,"Central"
"Wethersfield School District","2016-17","Personal",23,53.6,23.4,6,"Central"
"Wethersfield School District","2016-17","Physical",16.3,48.5,35.1,6,"Central"
"Wethersfield School District","2016-17","Language",27.2,39.7,33.1,6,"Central"
"Willington School District","2016-17","Personal",9.8,31.7,58.5,3,"Eastern"
"Willington School District","2016-17","Numeracy",12.2,36.6,51.2,3,"Eastern"
"Willington School District","2016-17","Language",12.2,31.7,56.1,3,"Eastern"
"Willington School District","2016-17","Physical",12.2,34.1,53.7,3,"Eastern"
"Willington School District","2016-17","Literacy",17.1,29.3,53.7,3,"Eastern"
"Willington School District","2016-17","Creative",7.3,39,53.7,3,"Eastern"
"Wilton School District","2016-17","Physical",0.4,5.7,93.9,1,"Southwest"
"Wilton School District","2016-17","Language",1.3,16.2,82.5,1,"Southwest"
"Wilton School District","2016-17","Personal",0.9,11.4,87.7,1,"Southwest"
"Wilton School District","2016-17","Literacy",0.4,7.9,91.7,1,"Southwest"
"Wilton School District","2016-17","Creative",0.4,5.7,93.9,1,"Southwest"
"Wilton School District","2016-17","Numeracy",0.4,5.7,93.9,1,"Southwest"
"Winchester School District","2016-17","Literacy",39.4,59.1,1.5,5,"Western"
"Winchester School District","2016-17","Personal",30.3,50,19.7,5,"Western"
"Winchester School District","2016-17","Numeracy",37.9,56.1,6.1,5,"Western"
"Winchester School District","2016-17","Physical",13.6,80.3,6.1,5,"Western"
"Winchester School District","2016-17","Creative",16.7,71.2,12.1,5,"Western"
"Winchester School District","2016-17","Language",34.8,56.1,9.1,5,"Western"
"Windham School District","2016-17","Language",36.4,45.5,18.2,3,"Eastern"
"Windham School District","2016-17","Numeracy",32.5,51.4,16.1,3,"Eastern"
"Windham School District","2016-17","Physical",16.4,57.3,26.2,3,"Eastern"
"Windham School District","2016-17","Personal",31.5,51.4,17.1,3,"Eastern"
"Windham School District","2016-17","Literacy",38.1,45.1,16.8,3,"Eastern"
"Windham School District","2016-17","Creative",19.9,55.6,24.5,3,"Eastern"
"Windsor Locks School District","2016-17","Personal",18.9,46.2,34.9,4,"North Central"
"Windsor Locks School District","2016-17","Language",19.8,42.5,37.7,4,"North Central"
"Windsor Locks School District","2016-17","Creative",5.7,54.7,39.6,4,"North Central"
"Windsor Locks School District","2016-17","Physical",4.7,45.3,50,4,"North Central"
"Windsor Locks School District","2016-17","Numeracy",17,47.2,35.8,4,"North Central"
"Windsor Locks School District","2016-17","Literacy",19.8,52.8,27.4,4,"North Central"
"Windsor School District","2016-17","Physical",14.9,39.8,45.3,4,"North Central"
"Windsor School District","2016-17","Language",23.2,36.5,40.3,4,"North Central"
"Windsor School District","2016-17","Literacy",34.8,38.1,27.1,4,"North Central"
"Windsor School District","2016-17","Personal",26,48.6,25.4,4,"North Central"
"Windsor School District","2016-17","Numeracy",19.3,44.8,35.9,4,"North Central"
"Windsor School District","2016-17","Creative",14.4,41.4,44.2,4,"North Central"
"Wolcott School District","2016-17","Language",15,43.6,41.4,5,"Western"
"Wolcott School District","2016-17","Literacy",12.9,42.1,45,5,"Western"
"Wolcott School District","2016-17","Personal",9.3,45,45.7,5,"Western"
"Wolcott School District","2016-17","Physical",6.4,40.7,52.9,5,"Western"
"Wolcott School District","2016-17","Numeracy",8.6,49.3,42.1,5,"Western"
"Wolcott School District","2016-17","Creative",4.3,47.1,48.6,5,"Western"
"Woodbridge School District","2016-17","Creative",15.8,64.2,20,2,"South Central"
"Woodbridge School District","2016-17","Personal",27.4,56.8,15.8,2,"South Central"
"Woodbridge School District","2016-17","Physical",18.9,67.4,13.7,2,"South Central"
"Woodbridge School District","2016-17","Language",27.4,62.1,10.5,2,"South Central"
"Woodbridge School District","2016-17","Numeracy",20,62.1,17.9,2,"South Central"
"Woodbridge School District","2016-17","Literacy",23.2,62.1,14.7,2,"South Central"
"Woodstock Academy District","2016-17","Language",NA,NA,NA,3,"Eastern"
"Woodstock Academy District","2016-17","Literacy",NA,NA,NA,3,"Eastern"
"Woodstock Academy District","2016-17","Personal",NA,NA,NA,3,"Eastern"
"Woodstock Academy District","2016-17","Numeracy",NA,NA,NA,3,"Eastern"
"Woodstock Academy District","2016-17","Physical",NA,NA,NA,3,"Eastern"
"Woodstock Academy District","2016-17","Creative",NA,NA,NA,3,"Eastern"
"Woodstock School District","2016-17","Language",17.9,32.8,49.3,3,"Eastern"
"Woodstock School District","2016-17","Numeracy",13.4,31.3,55.2,3,"Eastern"
"Woodstock School District","2016-17","Personal",19.4,23.9,56.7,3,"Eastern"
"Woodstock School District","2016-17","Creative",9,28.4,62.7,3,"Eastern"
"Woodstock School District","2016-17","Literacy",13.4,23.9,62.7,3,"Eastern"
"Woodstock School District","2016-17","Physical",10.4,22.4,67.2,3,"Eastern"
