"District","FIPS","Year","Sanction Type","Variable","Measure Type","Value"
"Barkhamsted School District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",-6666
"Barkhamsted School District",NA,"2015-2016","Expulsion","Sanctions","Number",-6666
"Barkhamsted School District",NA,"2015-2016","Bus Suspension","Sanctions","Number",-6666
"Barkhamsted School District",NA,"2016-2017","In-School Suspension","Sanctions","Number",-9999
"Barkhamsted School District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",-9999
"Barkhamsted School District",NA,"2016-2017","Expulsion","Sanctions","Number",0
"Barkhamsted School District",NA,"2016-2017","Bus Suspension","Sanctions","Number",0
"Berlin School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",680
"Berlin School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",69
"Berlin School District",NA,"2009-2010","Expulsion","Sanctions","Number",-9999
"Berlin School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",0
"Berlin School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",587
"Berlin School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",90
"Berlin School District",NA,"2010-2011","Expulsion","Sanctions","Number",-9999
"Berlin School District",NA,"2010-2011","Bus Suspension","Sanctions","Number",0
"Berlin School District",NA,"2011-2012","In-School Suspension","Sanctions","Number",391
"Berlin School District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",54
"Berlin School District",NA,"2011-2012","Expulsion","Sanctions","Number",-9999
"Berlin School District",NA,"2011-2012","Bus Suspension","Sanctions","Number",0
"Berlin School District",NA,"2012-2013","In-School Suspension","Sanctions","Number",251
"Berlin School District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",51
"Berlin School District",NA,"2012-2013","Expulsion","Sanctions","Number",-9999
"Berlin School District",NA,"2012-2013","Bus Suspension","Sanctions","Number",-9999
"Berlin School District",NA,"2013-2014","In-School Suspension","Sanctions","Number",198
"Berlin School District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",44
"Berlin School District",NA,"2013-2014","Expulsion","Sanctions","Number",0
"Berlin School District",NA,"2013-2014","Bus Suspension","Sanctions","Number",0
"Berlin School District",NA,"2014-2015","In-School Suspension","Sanctions","Number",159
"Berlin School District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",30
"Berlin School District",NA,"2014-2015","Expulsion","Sanctions","Number",-9999
"Berlin School District",NA,"2014-2015","Bus Suspension","Sanctions","Number",-9999
"Berlin School District",NA,"2015-2016","In-School Suspension","Sanctions","Number",133
"Berlin School District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",14
"Berlin School District",NA,"2015-2016","Expulsion","Sanctions","Number",-9999
"Berlin School District",NA,"2015-2016","Bus Suspension","Sanctions","Number",0
"Berlin School District",NA,"2016-2017","In-School Suspension","Sanctions","Number",142
"Berlin School District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",33
"Berlin School District",NA,"2016-2017","Expulsion","Sanctions","Number",0
"Berlin School District",NA,"2016-2017","Bus Suspension","Sanctions","Number",0
"Bethany School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",-9999
"Bethany School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",-9999
"Bethany School District",NA,"2009-2010","Expulsion","Sanctions","Number",0
"Bethany School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",0
"Bethany School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",7
"Bethany School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",0
