"Town","FIPS","Year","Gender","Race/Ethnicity","Age Cohort","Measure Type","Variable","Value","Region"
"Ansonia",900901220,"2012-2016","Female","All","75 to 84 years","Number","Population",397,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","75 to 84 years","Number","Margins of Error",115,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","85 years and over","Number","Population",389,"South Central Region"
"Ansonia",900901220,"2012-2016","Female","All","85 years and over","Number","Margins of Error",165,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","Total","Number","Population",9189,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","Total","Number","Margins of Error",473,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","0 to 4 years","Number","Population",342,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","0 to 4 years","Number","Margins of Error",186,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","5 to 9 years","Number","Population",470,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","5 to 9 years","Number","Margins of Error",203,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","10 to 14 years","Number","Population",914,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","10 to 14 years","Number","Margins of Error",282,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","15 to 19 years","Number","Population",605,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","15 to 19 years","Number","Margins of Error",201,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","20 to 24 years","Number","Population",687,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","20 to 24 years","Number","Margins of Error",215,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","25 to 29 years","Number","Population",737,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","25 to 29 years","Number","Margins of Error",267,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","30 to 34 years","Number","Population",638,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","30 to 34 years","Number","Margins of Error",182,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","35 to 44 years","Number","Population",1156,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","35 to 44 years","Number","Margins of Error",272,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","45 to 54 years","Number","Population",1402,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","45 to 54 years","Number","Margins of Error",270,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","55 to 64 years","Number","Population",1160,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","55 to 64 years","Number","Margins of Error",240,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","65 to 74 years","Number","Population",625,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","65 to 74 years","Number","Margins of Error",151,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","75 to 84 years","Number","Population",281,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","75 to 84 years","Number","Margins of Error",94,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","85 years and over","Number","Population",172,"South Central Region"
"Ansonia",900901220,"2012-2016","Male","All","85 years and over","Number","Margins of Error",78,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","Total","Number","Population",18950,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","Total","Number","Margins of Error",30,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","0 to 4 years","Number","Population",921,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","0 to 4 years","Number","Margins of Error",330,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","5 to 9 years","Number","Population",1039,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","5 to 9 years","Number","Margins of Error",271,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","10 to 14 years","Number","Population",1605,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","10 to 14 years","Number","Margins of Error",375,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","15 to 19 years","Number","Population",1168,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","15 to 19 years","Number","Margins of Error",277,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","20 to 24 years","Number","Population",1499,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","20 to 24 years","Number","Margins of Error",326,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","25 to 29 years","Number","Population",1094,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","25 to 29 years","Number","Margins of Error",316,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","30 to 34 years","Number","Population",1199,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","30 to 34 years","Number","Margins of Error",246,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","35 to 44 years","Number","Population",2451,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","35 to 44 years","Number","Margins of Error",366,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","45 to 54 years","Number","Population",2536,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","45 to 54 years","Number","Margins of Error",366,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","55 to 64 years","Number","Population",2670,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","55 to 64 years","Number","Margins of Error",345,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","65 to 74 years","Number","Population",1529,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","65 to 74 years","Number","Margins of Error",246,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","75 to 84 years","Number","Population",678,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","75 to 84 years","Number","Margins of Error",149,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","85 years and over","Number","Population",561,"South Central Region"
"Ansonia",900901220,"2012-2016","Total","All","85 years and over","Number","Margins of Error",183,"South Central Region"
"Ashford",901501430,"2012-2016","Female","All","Total","Number","Population",1985,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","Total","Number","Margins of Error",163,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","0 to 4 years","Number","Population",98,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","0 to 4 years","Number","Margins of Error",59,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","5 to 9 years","Number","Population",130,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","5 to 9 years","Number","Margins of Error",80,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","10 to 14 years","Number","Population",79,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","10 to 14 years","Number","Margins of Error",44,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","15 to 19 years","Number","Population",60,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","15 to 19 years","Number","Margins of Error",40,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","20 to 24 years","Number","Population",63,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","20 to 24 years","Number","Margins of Error",36,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","25 to 29 years","Number","Population",126,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","25 to 29 years","Number","Margins of Error",54,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","30 to 34 years","Number","Population",128,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","30 to 34 years","Number","Margins of Error",64,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","35 to 44 years","Number","Population",228,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","35 to 44 years","Number","Margins of Error",67,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","45 to 54 years","Number","Population",384,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","45 to 54 years","Number","Margins of Error",88,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","55 to 64 years","Number","Population",341,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","55 to 64 years","Number","Margins of Error",91,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","65 to 74 years","Number","Population",204,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","65 to 74 years","Number","Margins of Error",67,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","75 to 84 years","Number","Population",133,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","75 to 84 years","Number","Margins of Error",52,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","85 years and over","Number","Population",11,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","All","85 years and over","Number","Margins of Error",17,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","Total","Number","Population",2285,"Eastern Region"
